"Onset Year-Week ","Number of Confirmed Cases "
"199801",0
"199802",0
"199803",0
"199804",0
"199805",0
"199806",0
"199807",0
"199808",1
"199809",0
"199810",1
"199811",0
"199812",0
"199813",0
"199814",0
"199815",0
"199816",0
"199817",0
"199818",0
"199819",0
"199820",0
"199821",1
"199822",0
"199823",0
"199824",0
"199825",0
"199826",0
"199827",0
"199828",0
"199829",0
"199830",1
"199831",0
"199832",0
"199833",0
"199834",0
"199835",0
"199836",0
"199837",0
"199838",0
"199839",0
"199840",0
"199841",0
"199842",0
"199843",0
"199844",0
"199845",0
"199846",0
"199847",1
"199848",0
"199849",0
"199850",0
"199851",0
"199852",0
"199853",0
"199901",0
"199902",0
"199903",0
"199904",0
"199905",0
"199906",0
"199907",0
"199908",0
"199909",0
"199910",0
"199911",0
"199912",0
"199913",0
"199914",0
"199915",0
"199916",0
"199917",0
"199918",0
"199919",0
"199920",0
"199921",0
"199922",0
"199923",0
"199924",0
"199925",0
"199926",0
"199927",0
"199928",0
"199929",0
"199930",0
"199931",0
"199932",0
"199933",0
"199934",0
"199935",0
"199936",0
"199937",0
"199938",0
"199939",0
"199940",0
"199941",0
"199942",0
"199943",0
"199944",0
"199945",0
"199946",0
"199947",0
"199948",0
"199949",0
"199950",0
"199951",0
"199952",0
"199953",0
"200001",0
"200002",0
"200003",0
"200004",0
"200005",0
"200006",0
"200007",0
"200008",0
"200009",0
"200010",0
"200011",0
"200012",0
"200013",0
"200014",0
"200015",0
"200016",0
"200017",0
"200018",0
"200019",0
"200020",0
"200021",0
"200022",0
"200023",0
"200024",0
"200025",0
"200026",0
"200027",0
"200028",0
"200029",0
"200030",0
"200031",0
"200032",0
"200033",0
"200034",0
"200035",0
"200036",0
"200037",0
"200038",0
"200039",0
"200040",0
"200041",0
"200042",0
"200043",0
"200044",0
"200045",0
"200046",0
"200047",0
"200048",0
"200049",0
"200050",0
"200051",0
"200052",0
"200053",0
"200101",0
"200102",0
"200103",0
"200104",0
"200105",0
"200106",0
"200107",0
"200108",0
"200109",0
"200110",0
"200111",0
"200112",0
"200113",0
"200114",0
"200115",0
"200116",0
"200117",0
"200118",0
"200119",0
"200120",0
"200121",0
"200122",0
"200123",0
"200124",0
"200125",0
"200126",0
"200127",1
"200128",0
"200129",1
"200130",0
"200131",0
"200132",0
"200133",0
"200134",0
"200135",0
"200136",0
"200137",0
"200138",0
"200139",0
"200140",0
"200141",0
"200142",1
"200143",0
"200144",2
"200145",1
"200146",1
"200147",1
"200148",1
"200149",1
"200150",0
"200151",0
"200152",0
"200153",0
"200201",0
"200202",0
"200203",0
"200204",0
"200205",0
"200206",0
"200207",0
"200208",0
"200209",0
"200210",0
"200211",0
"200212",0
