Total,6320446,151,178,176,222,190,178,181,94,110,122,139,114,108,119,80,83,81,90,76,46,30,44,38,29,29,22,26,26,33,24,29,21,21,30,26,20,25,44,24,44,43,47,42,27,37,33,36,25,36,19,5,0,3473
BairrodeResidênciaIgnorado**,0,9,8,14,18,10,19,4,3,5,8,15,4,5,2,3,4,3,6,8,3,1,2,1,2,1,1,0,0,0,1,1,0,2,1,0,0,1,0,0,1,5,1,2,2,2,1,0,1,4,1,1,0,186
ÁreaProgramática1.0,297976,12,15,10,14,17,19,12,14,9,6,7,10,6,12,5,9,6,6,8,5,0,3,3,2,2,0,3,4,3,2,1,2,0,2,2,0,2,1,2,5,5,4,2,1,1,3,0,0,1,0,0,0,258
IPortuária,48664,2,2,0,0,2,6,3,1,2,2,0,2,1,4,0,2,1,1,3,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,45
Saúde,2749,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gamboa,13108,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
SantoCristo,12330,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10
Caju,20477,2,2,0,0,1,4,1,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
IICentro,41142,0,1,3,2,2,1,0,5,3,0,2,0,1,3,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,34
Centro,41142,0,1,3,2,2,1,0,5,3,0,2,0,1,3,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,34
IIIRioComprido,78975,8,7,3,8,7,7,5,6,3,3,5,5,2,3,3,0,1,0,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,94
Catumbi,12556,1,0,0,2,5,2,1,0,2,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22
RioComprido,43764,5,5,3,2,2,1,3,3,1,3,1,4,2,1,1,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48
CidadeNova,5466,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Estácio,17189,2,1,0,4,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,18
VIISãoCristóvão,84908,2,4,2,2,4,3,2,1,1,1,0,0,1,1,1,3,1,2,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,42
SãoCristóvão,26510,0,1,1,2,1,2,2,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
Mangueira,17835,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Benfica,25081,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15
VascodaGama,15482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXIPaquetá,3361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Paquetá,3361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
XXIIISantaTeresa,40926,0,1,2,2,2,2,1,1,0,0,0,3,1,1,1,3,2,2,1,2,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,41
SantaTeresa,40926,0,1,2,2,2,2,1,1,0,0,0,3,1,1,1,3,2,2,1,2,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,41
ÁreaProgramática2.1,638050,13,11,13,13,14,15,15,8,11,8,9,14,12,10,7,7,10,4,6,0,2,3,1,1,2,2,3,3,5,3,3,1,3,4,3,1,2,3,1,2,4,3,1,0,3,2,3,2,5,0,0,0,271
IVBotafogo,239729,3,3,2,2,3,5,3,1,3,5,4,4,4,3,2,2,4,1,2,0,0,1,0,1,1,0,1,1,2,0,3,1,1,1,2,0,1,2,1,2,1,1,1,0,1,0,1,0,4,0,0,0,86
Flamengo,50043,2,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13
Glória,9661,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Laranjeiras,45554,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,7
Catete,24057,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10
CosmeVelho,7178,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Botafogo,82890,1,2,2,1,0,2,2,0,0,1,0,1,0,2,1,2,4,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,33
Humaitá,13285,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Urca,7061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VCopacabana,161191,4,3,2,4,4,2,5,4,1,0,1,4,4,3,1,2,2,1,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,1,0,0,3,2,0,0,2,0,0,2,0,0,0,0,64
Leme,14799,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Copacabana,146392,4,3,2,3,3,2,5,4,1,0,1,4,4,3,1,1,2,1,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,2,0,0,2,0,0,0,0,60
VILagoa,167774,3,4,2,0,2,2,2,1,3,3,1,2,2,1,3,3,1,0,1,0,0,1,0,0,1,0,0,1,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,49
Ipanema,42743,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Leblon,46044,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Lagoa,21198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
