ÁreaProgramática.Regiões,População,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14,X.15,X.16,X.17,X.18,X.19,X.20,X.21,X.22,X.23,X.24,X.25,X.26,X.27,X.28,ICA,X.29,X.30,X.31,X.32,X.33,X.34,X.35,X.36,X.37,X.38,X.39,X.40,X.41,X.42,X.43,X.44,X.45,X.46,X.47,X.48,X.49,X.50,X.51,X.52
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Total
AdministrativaseBairros,Censo2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,
Total,6320446,619,403,420,415,466,561,749,721,859,1027,1189,1568,2538,2278,2243,1826,1771,1102,1012,608,421,429,365,212,180,146,135,117,94,94,56,43,53,37,46,35,41,34,18,27,27,44,46,31,51,62,80,114,114,95,118,98,25838
BairrodeResidênciaIgnorado**,0,89,33,42,44,52,65,83,74,90,81,131,170,156,107,125,106,76,56,61,25,25,29,22,9,11,9,12,7,5,7,4,8,6,7,2,0,5,2,0,0,1,3,4,5,4,4,6,14,8,5,3,5,1898
ÁreaProgramática1.0,297976,25,18,14,14,13,23,32,33,42,40,84,145,278,288,189,135,104,49,33,15,12,14,14,20,7,2,4,2,1,2,3,2,7,3,3,1,2,2,1,2,0,2,1,1,2,1,3,10,5,3,6,6,1718
IPortuária,48664,4,6,2,1,4,4,8,12,10,9,17,16,15,35,25,22,18,13,10,5,1,1,2,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,254
Saúde,2749,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
Gamboa,13108,0,1,0,0,0,1,1,4,1,1,2,1,7,13,15,11,6,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
SantoCristo,12330,2,1,1,0,2,2,4,7,4,5,10,4,2,19,5,8,7,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,94
Caju,20477,2,4,1,1,2,1,3,1,5,3,4,9,5,2,5,3,5,8,4,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,79
IICentro,41142,4,4,5,6,1,4,4,2,7,4,2,11,7,17,14,4,8,2,1,1,3,5,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,126
Centro,41142,4,4,5,6,1,4,4,2,7,4,2,11,7,17,14,4,8,2,1,1,3,5,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,126
IIIRioComprido,78975,10,4,3,4,2,6,6,4,13,11,39,78,214,197,112,67,38,18,6,5,1,4,7,1,1,0,0,0,0,0,1,0,1,2,0,1,2,2,1,0,0,0,0,0,0,0,1,5,3,1,2,5,878
Catumbi,12556,1,0,0,0,0,1,1,1,8,5,26,63,196,170,89,53,28,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,657
