Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
TOTAL,6 291 773,  157,  177,  145,  180,  272,  250,  177,  134,  147,  91,  111,  106,  73,  71,  71,  33,  25,  24,  24,  38,  20,  15,  23,  18,  9,  20,  29,  15,  9,  5,  6,  4,  4,  4,  5,  4,  3,  6,  2,  4,  2,  5,  3,  20,  23,  6,  10,  13,  7,  19,  9,  99,
AREA DE PLANEJAMENTO 1, 248 908,  3,  7,  2,  9,  13,  11,  9,  11,  5,  4,  1,  2,  3,  2,  3,  0,  2,  1,  0,  2,  2,  2,  1,  1,  0,  1,  1,  0,  0,  1,  1,  0,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1,  0,  1,  3,  0,  1,  2,  0,  0,
I PORTUARIA, 38 394,0,1,0,4,4,1,4,5,2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
SAÚDE, 2 010,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GAMBOA, 9 909,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SANTO CRISTO, 8 817,0,0,0,3,1,1,2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAJU, 17 658,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
II CENTRO, 33 378,  0,  2,  0,  1,  1,  1,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  0,
CENTRO, 33 378,  0,  2,  0,  1,  1,  1,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  0,
III RIO COMPRIDO, 68 882,  1,  1,  1,  2,  3,  5,  2,  5,  1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,
CATUMBI, 12 967,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RIO COMPRIDO, 31 161,1,0,1,2,3,5,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIDADE NOVA, 4 031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
