"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
2011,"Planning Area 1.0","I Portuária","Caju",20477,1,4
2011,"Planning Area 1.0","I Portuária","Caju",20477,2,40
2011,"Planning Area 1.0","I Portuária","Caju",20477,3,36
2011,"Planning Area 1.0","I Portuária","Caju",20477,4,70
2011,"Planning Area 1.0","I Portuária","Caju",20477,5,39
2011,"Planning Area 1.0","I Portuária","Caju",20477,6,1
2011,"Planning Area 1.0","I Portuária","Caju",20477,7,5
2011,"Planning Area 1.0","I Portuária","Caju",20477,8,0
2011,"Planning Area 1.0","I Portuária","Caju",20477,9,0
2011,"Planning Area 1.0","I Portuária","Caju",20477,10,2
2011,"Planning Area 1.0","I Portuária","Caju",20477,11,3
2011,"Planning Area 1.0","I Portuária","Caju",20477,12,3
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,1,4
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,2,12
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,3,17
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,4,45
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,5,20
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,6,1
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,7,1
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,8,1
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,9,0
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,10,0
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,11,0
2011,"Planning Area 1.0","I Portuária","Gamboa",13108,12,3
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,1,9
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,2,18
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,3,57
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,4,66
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,5,42
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,6,4
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,7,3
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,8,2
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,9,1
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,10,0
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,11,1
2011,"Planning Area 1.0","I Portuária","Santo Cristo",12330,12,6
2011,"Planning Area 1.0","I Portuária","Saúde",2749,1,2
2011,"Planning Area 1.0","I Portuária","Saúde",2749,2,10
2011,"Planning Area 1.0","I Portuária","Saúde",2749,3,15
2011,"Planning Area 1.0","I Portuária","Saúde",2749,4,22
2011,"Planning Area 1.0","I Portuária","Saúde",2749,5,16
2011,"Planning Area 1.0","I Portuária","Saúde",2749,6,0
2011,"Planning Area 1.0","I Portuária","Saúde",2749,7,2
2011,"Planning Area 1.0","I Portuária","Saúde",2749,8,1
2011,"Planning Area 1.0","I Portuária","Saúde",2749,9,1
2011,"Planning Area 1.0","I Portuária","Saúde",2749,10,0
2011,"Planning Area 1.0","I Portuária","Saúde",2749,11,3
2011,"Planning Area 1.0","I Portuária","Saúde",2749,12,1
2011,"Planning Area 1.0","II Centro","Centro",41142,1,35
2011,"Planning Area 1.0","II Centro","Centro",41142,2,144
2011,"Planning Area 1.0","II Centro","Centro",41142,3,226
2011,"Planning Area 1.0","II Centro","Centro",41142,4,287
