"",,,,,,,Mes de ocur,rencia,,,,,
Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,2,0,0,0,0,0,0,2,0,0,0,0,0
Baja California,9,0,0,1,0,0,1,1,2,2,2,0,0
Baja California Sur,1 946,105,48,32,59,64,61,92,137,181,498,491,178
Campeche,1 164,90,55,29,40,31,50,196,405,116,114,30,8
Coahuila,85,0,0,0,2,3,3,8,14,26,26,3,0
Colima,1 151,354,200,116,82,39,44,45,68,105,59,25,14
Chiapas,850,37,42,19,43,86,218,125,124,72,49,22,13
Chihuahua,2,0,0,0,0,0,0,2,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,18,0,0,0,1,0,0,0,1,7,5,4,0
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,5 737,436,464,427,446,370,507,674,1 091,1 063,100,108,51
Hidalgo,45,1,1,1,8,4,2,3,6,7,11,1,0
Jalisco,1 730,284,199,143,85,82,129,135,178,241,170,75,9
México,41,1,0,1,1,8,10,0,13,7,0,0,0
Michoacán,1 715,199,175,133,115,80,111,57,178,252,233,148,34
Morelos,1 486,22,10,28,25,51,90,139,210,294,408,170,39
Nayarit,1 642,71,28,35,71,305,220,236,349,170,143,14,0
Nuevo León,2 255,10,29,45,54,123,124,174,394,436,545,277,44
Oaxaca,3 529,200,136,138,304,377,639,525,648,319,184,42,17
Puebla,1 227,10,13,20,20,36,112,258,322,241,158,31,6
Querétaro,1,0,0,0,1,0,0,0,0,0,0,0,0
Quintana Roo,2 053,228,300,150,194,135,228,452,214,80,36,22,14
San Luis Potosí,315,13,9,19,28,36,22,24,45,63,48,7,1
Sinaloa,1 091,71,27,25,27,43,55,113,130,153,295,146,6
Sonora,4 130,28,16,3,3,15,13,39,49,524,2 044,1 247,149
Tabasco,488,24,52,16,22,25,26,46,71,102,83,13,8
Tamaulipas,826,53,14,37,25,17,15,73,269,204,118,1,0
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,1 004,24,15,31,10,32,63,54,230,244,184,89,28
Yucatán,2 198,187,101,35,30,27,52,245,439,334,423,258,67
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,36 740,2 448,1 934,1 484,1 696,1 989,2 795,3 718,5 587,5 243,5 936,3 224,686
