"year","area","city","town","week","cases"
1998,"Taipei","Keelung City","Zhongzheng District",1,"0"
1998,"Taipei","Keelung City","Zhongzheng District",2,"0"
1998,"Taipei","Keelung City","Zhongzheng District",3,"0"
1998,"Taipei","Keelung City","Zhongzheng District",4,"0"
1998,"Taipei","Keelung City","Zhongzheng District",5,"0"
1998,"Taipei","Keelung City","Zhongzheng District",6,"0"
1998,"Taipei","Keelung City","Zhongzheng District",7,"0"
1998,"Taipei","Keelung City","Zhongzheng District",8,"0"
1998,"Taipei","Keelung City","Zhongzheng District",9,"0"
1998,"Taipei","Keelung City","Zhongzheng District",10,"0"
1998,"Taipei","Keelung City","Zhongzheng District",11,"0"
1998,"Taipei","Keelung City","Zhongzheng District",12,"0"
1998,"Taipei","Keelung City","Zhongzheng District",13,"0"
1998,"Taipei","Keelung City","Zhongzheng District",14,"0"
1998,"Taipei","Keelung City","Zhongzheng District",15,"0"
1998,"Taipei","Keelung City","Zhongzheng District",16,"0"
1998,"Taipei","Keelung City","Zhongzheng District",17,"0"
1998,"Taipei","Keelung City","Zhongzheng District",18,"0"
1998,"Taipei","Keelung City","Zhongzheng District",19,"0"
1998,"Taipei","Keelung City","Zhongzheng District",20,"0"
1998,"Taipei","Keelung City","Zhongzheng District",21,"0"
1998,"Taipei","Keelung City","Zhongzheng District",22,"0"
1998,"Taipei","Keelung City","Zhongzheng District",23,"0"
1998,"Taipei","Keelung City","Zhongzheng District",24,"0"
1998,"Taipei","Keelung City","Zhongzheng District",25,"0"
1998,"Taipei","Keelung City","Zhongzheng District",26,"0"
1998,"Taipei","Keelung City","Zhongzheng District",27,"0"
1998,"Taipei","Keelung City","Zhongzheng District",28,"0"
1998,"Taipei","Keelung City","Zhongzheng District",29,"0"
1998,"Taipei","Keelung City","Zhongzheng District",30,"0"
1998,"Taipei","Keelung City","Zhongzheng District",31,"0"
1998,"Taipei","Keelung City","Zhongzheng District",32,"0"
1998,"Taipei","Keelung City","Zhongzheng District",33,"0"
1998,"Taipei","Keelung City","Zhongzheng District",34,"0"
1998,"Taipei","Keelung City","Zhongzheng District",35,"0"
1998,"Taipei","Keelung City","Zhongzheng District",36,"0"
1998,"Taipei","Keelung City","Zhongzheng District",37,"0"
1998,"Taipei","Keelung City","Zhongzheng District",38,"0"
1998,"Taipei","Keelung City","Zhongzheng District",39,"0"
1998,"Taipei","Keelung City","Zhongzheng District",40,"0"
1998,"Taipei","Keelung City","Zhongzheng District",41,"0"
